id,name,barrel_center_x,barrel_center_y,barrel_center_z,normal_x,normal_y,normal_z,radius
6,Alpha,-755.255,972.717,21.974,0.00538765,0.153553,0.988126,167.271
7,A1,-482.792,1146.67,8.05248,0.0536427,0.19139,0.980047,164.971
8,A2,-150.439,1159.39,-46.9216,0.123246,0.277435,0.952806,162.541
9,A3,121.05,1136.53,-90.7421,0.162841,0.306681,0.937779,143.619
10,A4,370.245,1068.77,-129.452,0.195667,0.324575,0.9254,143.841
11,Beta,-885.283,603.416,38.9095,-0.066383,0.0589958,0.996049,180.188
12,B1,-503.922,749.452,34.084,0.00791207,0.12081,0.992644,166.794
13,B2,-144.732,784.712,-4.9134,0.0904869,0.174858,0.980427,169.351
14,B3,189.255,775.615,-55.5768,0.134744,0.224254,0.965171,156.149
15,B4,492.225,782.398,-105.589,0.17115,0.274337,0.946281,158.476
16,Gamma,-841.85,189.597,21.1325,-0.111052,-0.0285917,0.993403,201.061
17,C1,-512.055,407.254,45.468,-0.0493628,0.0299881,0.998331,179.302
18,C2,-87.1775,409.522,20.2263,0.0365085,0.074742,0.996534,181.069
19,C3,347.551,401.542,-55.1051,0.110229,0.175431,0.978301,181.946
20,C4,753.731,415.997,-125.665,0.136356,0.209222,0.968315,169.539
21,Delta,-602.767,-251.788,-7.86675,-0.104325,-0.051254,0.993222,213.35
22,D1,-427,27.3315,26.6072,-0.0545414,-0.0220467,0.998268,188.814
23,D2,0,0,0,1.31517e-09,1.56807e-09,1,198.672
24,D3,415.574,-2.85455,-47.0356,0.0581512,0.0571241,0.996672,192.156
25,D4,834.671,10.8608,-80.889,0.102741,0.118958,0.987569,181.069
26,E1,-161.326,-442.834,-33.1163,-0.0542488,-0.0751003,0.995699,215.577
27,E2,273.711,-492.549,-51.1474,0.00335659,-0.052817,0.998599,224.969
28,E3,719.237,-485.896,-57.1888,0.0326645,-0.0213883,0.999237,224.261
29,E4,1125.34,-371.1,-86.3545,0.0930072,0.0360938,0.995011,197.869
